Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Aaron Cresswell,West Ham United,27,Defender,72,76,68,75,71,63,68,76,7,12,0,2,5,3,0,3,0,0,37,0,26,2.2692307692,2,4,11,1,0,1,0,0,50,0,37,3.1081081081
Aaron Hunt,Hamburger SV,30,Midfielder,78,75,68,80,55,75,74,28,12,15,4,2,0,3,0,7,0,1,0,0,22,2.5909090909,1,2,0,2,0,7,0,0,0,1,22,2.1363636364
Aaron Lennon,Everton,30,Midfielder,76,82,54,80,42,71,73,40,7,11,0,1,0,0,0,5,0,0,0,0,11,1.8181818182,5,1,0,1,0,8,0,0,0,0,25,2.76
Aaron Ramsey,Arsenal,26,Midfielder,84,81,80,82,69,82,80,60,11,8,1,4,0,3,0,3,0,0,0,0,23,2.1739130435,5,5,0,4,0,2,0,0,0,0,31,3.0967741935000004
Abdoulaye Doucoure,Watford,24,Midfielder,82,78,74,80,78,73,77,70,12,14,1,0,0,4,0,3,0,0,0,0,20,1.75,2,4,0,6,0,3,0,0,0,0,31,2.2791666666999997
Abdoulaye Keita,Le Havre AC,23,Midfielder,65,54,62,63,66,57,59,51,7,9,0,0,0,2,0,0,0,0,0,0,21,1.5714285713999998,0,0,0,0,0,0,0,0,0,0,4,1.0
Abdoulaye Toure,FC Nantes,23,Midfielder,54,50,68,66,67,37,46,67,15,7,0,0,0,1,0,1,0,0,0,0,12,1.1666666667,0,0,0,0,0,0,0,0,0,0,4,1.5
Adalberto Penaranda,Malaga CF,20,Midfielder,74,82,56,81,36,72,75,20,14,6,0,0,0,1,0,2,0,0,0,0,8,1.1,5,3,0,8,0,11,0,0,0,0,23,3.0434782608999997
Adam Federici,Bournemouth,32,Goalkeeper,28,19,25,27,22,16,63,20,69,73,0,0,1,1,0,0,0,0,3,0,2,2.5,0,0,0,0,0,1,0,0,16,0,6,0.3333333333
Adam Lallana,Liverpool,29,Midfielder,86,85,77,86,68,77,83,60,15,11,8,7,0,3,0,17,0,0,0,0,31,3.7419354839,4,6,0,2,0,13,0,0,0,0,30,2.9666666667
Adam Masina,Bologna,23,Defender,68,68,68,69,72,58,58,66,14,6,1,0,6,6,1,5,0,0,51,0,32,1.78125,2,2,5,8,1,6,0,0,38,0,33,2.5151515152
Adam Ounas,Napoli,20,Midfielder,71,78,65,74,47,68,67,44,6,12,3,2,0,5,1,5,0,0,0,0,26,1.9230769231,5,2,0,4,0,9,0,0,0,0,23,2.8260869564999997
Adam Smith,Bournemouth,26,Defender,72,74,61,72,70,63,69,72,9,6,1,5,8,6,0,0,0,0,61,1,36,2.25,2,1,6,5,0,2,0,0,53,0,31,1.8709677419
Adam Szalai,TSG 1899 Hoffenheim,29,Forward,72,70,48,74,41,76,65,27,12,9,8,1,0,2,0,4,0,0,0,0,22,3.1818181818,0,2,0,2,0,1,0,0,0,0,16,1.6875
Adem Ljajic,Torino,25,Midfielder,78,87,71,86,32,75,78,23,14,12,10,9,0,5,0,9,0,1,0,0,33,4.0303030303,3,2,0,2,0,8,0,0,0,0,25,2.36
Adil Rami,Olympique de Marseille,31,Defender,66,53,68,64,83,24,22,80,3,3,0,0,7,4,0,1,0,0,22,0,21,2.7619047619,0,1,9,8,0,2,0,0,36,0,28,2.5
Adlene Guedioura,Middlesbrough,31,Midfielder,73,68,71,71,64,59,68,60,14,6,0,1,0,2,0,5,0,0,0,0,17,1.5882352941,0,2,0,2,0,2,0,0,0,0,18,1.3888888889
Admir Mehmedi,Bayer 04 Leverkusen,26,Forward,74,80,62,77,42,78,74,29,14,16,3,0,0,1,0,13,0,0,0,0,22,2.3636363636,2,5,0,2,0,7,0,0,0,0,27,2.3333333333
Adnan Januzaj,Real Sociedad,22,Midfielder,77,84,75,81,21,69,76,20,10,7,0,3,0,4,0,8,0,0,0,0,25,1.92,1,1,0,1,0,2,0,0,0,0,11,1.85
Adrian Gonzalez,Malaga CF,29,Midfielder,77,76,74,81,68,73,74,59,15,7,7,1,0,3,0,13,0,0,0,0,28,2.9285714286,4,0,0,6,0,12,0,0,0,0,32,2.25
Adrian Lopez,RCD Espanyol,18,Forward,16,12,29,21,12,4,33,9,61,69,2,1,0,0,0,6,0,0,0,0,15,2.3333333333,3,3,0,1,0,8,0,0,0,0,13,3.4615384614999996
Adrian Mariappa,Watford,30,Defender,63,59,61,65,68,53,58,76,15,10,0,0,1,0,0,0,0,0,13,0,7,1.5714285713999998,0,0,0,0,0,1,0,0,7,0,3,0.6666666667
Adrien Rabiot,Paris Saint-Germain,22,Midfielder,84,79,81,82,77,74,81,66,12,15,3,2,0,2,0,2,0,0,0,0,27,2.4444444444,1,1,0,4,0,10,0,0,0,0,24,1.9583333333000001
Adrien Thomasson,FC Nantes,23,Midfielder,75,73,72,75,68,68,76,52,9,13,2,2,0,5,1,12,0,0,0,0,29,2.0,3,4,0,7,0,15,0,0,0,0,36,2.4166666667
Afriyie Acquah,Torino,25,Midfielder,74,76,68,72,74,72,70,66,5,7,2,0,0,5,0,4,0,0,0,0,20,1.9,2,3,0,9,0,10,0,0,0,0,28,2.1071428571
