Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Aaron Cresswell,West Ham United,27,Defender,72,76,68,75,71,63,68,76,7,12,0,2,5,3,0,3,0,0,37,0,26,2.2692307692,2,4,11,1,0,1,0,0,50,0,37,3.1081081081
Adam Masina,Bologna,23,Defender,68,68,68,69,72,58,58,66,14,6,1,0,6,6,1,5,0,0,51,0,32,1.78125,2,2,5,8,1,6,0,0,38,0,33,2.5151515152
Adam Smith,Bournemouth,26,Defender,72,74,61,72,70,63,69,72,9,6,1,5,8,6,0,0,0,0,61,1,36,2.25,2,1,6,5,0,2,0,0,53,0,31,1.8709677419
Adil Rami,Olympique de Marseille,31,Defender,66,53,68,64,83,24,22,80,3,3,0,0,7,4,0,1,0,0,22,0,21,2.7619047619,0,1,9,8,0,2,0,0,36,0,28,2.5
Adrian Mariappa,Watford,30,Defender,63,59,61,65,68,53,58,76,15,10,0,0,1,0,0,0,0,0,13,0,7,1.5714285713999998,0,0,0,0,0,1,0,0,7,0,3,0.6666666667
Aissa Mandi,Real Betis Balompie,25,Defender,76,64,73,73,80,67,68,75,16,14,2,1,6,4,0,3,0,0,53,0,26,1.9615384615,5,1,2,3,1,1,0,0,49,0,32,2.375
Alaeddine Yahia,AS Nancy Lorraine,35,Defender,62,41,60,52,65,31,57,72,15,10,1,0,5,7,0,6,0,0,47,1,31,1.9032258065,1,0,7,5,1,2,0,0,34,1,26,2.3076923077
Alberto Moreno,Liverpool,24,Defender,74,76,64,79,69,69,58,63,14,11,0,1,0,1,0,0,0,0,18,0,12,1.0833333333,1,5,6,3,0,3,0,0,42,0,32,2.75
Aleix Vidal,FC Barcelona,27,Defender,78,81,64,82,73,66,70,68,7,12,2,2,3,0,0,0,0,0,3,0,6,6.666666666699999,0,1,1,1,0,2,0,0,5,0,8,2.875
Alejandro Arribas,RC Deportivo de La Coruna,28,Defender,70,48,58,68,77,26,40,74,15,16,0,1,7,7,0,0,0,0,34,0,23,2.1304347826,2,0,5,10,0,2,0,0,47,1,31,1.8709677419
Aleksandar Kolarov,Roma,31,Defender,73,78,77,75,80,69,76,74,15,6,1,1,8,6,0,0,0,0,28,1,29,2.7931034482999997,3,4,10,3,0,2,0,1,33,0,29,3.6206896551999996
Alessandro Gamberini,Chievo Verona,35,Defender,50,54,54,55,83,31,26,83,7,15,1,0,6,1,0,5,0,0,32,0,20,2.5,0,1,6,1,0,5,0,0,24,1,22,2.7272727273000004
Alessio Romagnoli,Milan,22,Defender,67,63,67,65,82,26,40,82,14,9,1,1,9,5,0,1,0,0,27,0,27,3.1481481481,0,0,10,9,0,0,0,0,37,0,34,2.5
Alex Ferrari,Hellas Verona,23,Defender,58,60,56,60,66,32,32,68,11,6,0,0,0,0,0,0,0,0,3,0,1,0.0,0,0,2,6,0,3,0,0,20,0,21,1.9523809524000002
Alex Sandro,Juventus,26,Defender,81,82,71,81,82,70,70,78,7,5,3,4,12,5,0,0,0,0,20,0,27,4.3333333333,2,3,9,6,0,0,0,0,11,0,22,4.1818181818
