Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Adam Szalai,TSG 1899 Hoffenheim,29,Forward,72,70,48,74,41,76,65,27,12,9,8,1,0,2,0,4,0,0,0,0,22,3.1818181818,0,2,0,2,0,1,0,0,0,0,16,1.6875
Admir Mehmedi,Bayer 04 Leverkusen,26,Forward,74,80,62,77,42,78,74,29,14,16,3,0,0,1,0,13,0,0,0,0,22,2.3636363636,2,5,0,2,0,7,0,0,0,0,27,2.3333333333
Adrian Lopez,RCD Espanyol,18,Forward,16,12,29,21,12,4,33,9,61,69,2,1,0,0,0,6,0,0,0,0,15,2.3333333333,3,3,0,1,0,8,0,0,0,0,13,3.4615384614999996
Alberto Gilardino,La Spezia,34,Forward,71,68,41,75,21,83,62,19,12,10,0,0,0,2,0,3,0,0,0,0,17,1.2352941176,10,2,0,4,0,13,0,0,0,0,33,3.3636363636
Alberto Paloschi,Ferrara (SPAL),27,Forward,66,69,35,76,21,82,59,12,15,5,0,0,0,0,0,1,0,1,0,0,13,1.1538461538,11,2,0,3,0,11,0,2,0,0,31,3.2976190476
Aldo Kalulu,FC Sochaux-Montbeliard,21,Forward,65,71,39,68,21,63,60,18,6,11,1,1,0,1,0,6,0,0,0,0,14,1.9285714286000002,2,0,0,0,0,1,0,0,0,0,10,2.1
Aleksandar Trajkovski,Palermo,24,Forward,69,71,67,72,25,64,67,16,12,12,1,0,0,1,0,4,0,0,0,0,11,1.8181818182,3,1,0,2,0,10,0,0,0,0,32,2.0
Alessandro Matri,Sassuolo,32,Forward,67,68,45,74,25,84,60,16,4,4,8,0,0,1,0,14,0,0,0,0,31,2.7741935483999995,4,3,0,1,1,7,0,0,0,0,19,2.6842105263
Alex Iwobi,Arsenal,21,Forward,80,83,57,83,24,68,75,29,7,11,3,3,0,1,0,14,0,0,0,0,26,2.5769230769,2,2,0,0,0,7,0,0,0,0,13,2.8461538462
Alexander Esswein,Hertha BSC Berlin,27,Forward,68,74,62,72,28,70,59,18,16,11,2,3,0,4,0,14,0,0,0,0,29,2.0344827586000003,3,1,0,1,0,16,0,0,0,0,28,2.3571428571
Alexandre Lacazette,Arsenal,26,Forward,79,85,59,84,40,87,74,23,6,6,28,3,0,3,0,7,0,2,0,0,30,6.666666666699999,21,3,0,5,0,6,0,1,0,0,34,5.1470588235
Alexandre Mendy,Girondins de Bordeaux,23,Forward,65,62,40,68,29,72,52,16,12,9,3,0,0,2,0,2,0,0,0,0,21,1.8571428571000002,1,0,0,0,0,2,0,0,0,0,16,1.5625
Alexis Sanchez,Arsenal,28,Forward,81,90,73,87,42,86,83,30,10,13,24,11,0,6,0,8,0,1,0,0,38,5.7631578947,13,5,0,1,0,12,0,0,0,0,30,4.5666666667
Allan Saint-Maximin,OGC Nice,20,Forward,68,84,58,79,15,70,65,23,9,7,3,3,0,1,1,12,0,0,0,0,33,2.4848484848,1,0,0,1,0,1,0,0,0,0,16,1.3125
Andre Ayew,West Ham United,27,Forward,77,78,71,79,52,79,75,49,6,15,6,3,0,1,0,11,0,0,0,0,25,3.16,12,4,0,5,0,15,0,0,0,0,34,3.9705882352999997
Andre Zambo Anguissa,Olympique de Marseille,21,Forward,70,72,69,68,72,63,68,62,11,11,0,1,0,3,0,3,0,0,0,0,33,1.5454545455000002,0,0,0,0,0,1,0,0,0,0,9,1.2222222222
Andrea Belotti,Torino,23,Forward,68,78,42,78,31,85,61,15,7,7,26,7,0,5,0,1,0,3,0,0,35,5.9714285714,12,4,0,4,0,11,0,0,0,0,35,3.8285714286
Andrej Kramaric,TSG 1899 Hoffenheim,26,Forward,79,86,53,84,21,84,66,20,14,15,15,8,0,1,0,15,0,0,0,0,34,4.7058823529,5,2,0,1,0,3,0,1,0,0,17,2.3333333333
Andy Carroll,West Ham United,28,Forward,65,67,57,74,45,76,65,42,14,6,7,1,0,3,0,6,0,0,0,0,18,3.7777777778,9,2,0,2,0,5,0,0,0,0,27,3.2962962963
Andy Delort,Toulouse FC,25,Forward,73,73,55,73,23,74,68,20,14,11,5,0,0,0,0,9,0,1,0,0,15,3.5333333333,12,2,0,5,0,4,0,1,0,0,36,3.5833333332999997
Angel Correa,Atletico Madrid,22,Forward,68,87,56,85,45,79,69,46,10,16,4,8,0,5,0,7,0,0,0,0,32,2.5625,5,4,0,7,0,7,0,0,0,0,26,2.4615384615
Ante Rebic,Eintracht Frankfurt,23,Forward,68,75,57,75,29,69,64,20,15,14,2,2,0,10,0,9,0,0,0,0,24,1.9166666666999999,1,0,0,3,0,6,0,0,0,0,14,1.7857142857
Antoine Griezmann,Atletico Madrid,26,Forward,79,87,75,86,35,91,76,23,8,14,16,8,0,3,0,14,0,2,0,0,36,4.6944444444,22,5,0,5,0,16,0,1,0,0,38,5.0526315789
Antonio Floro Flores,Bari,34,Forward,68,73,56,75,26,78,68,20,10,7,0,1,0,0,0,6,0,0,0,0,12,1.75,4,2,0,2,0,15,0,0,0,0,28,2.4285714286
Antonio Sanabria,Real Betis Balompie,21,Forward,71,82,56,83,21,80,72,21,14,13,3,1,0,2,0,6,0,0,0,0,22,2.4545454545,11,1,0,4,0,14,0,0,0,0,29,3.7931034482999997
Aritz Aduriz,Athletic Club de Bilbao,36,Forward,73,79,52,82,23,86,73,46,10,9,16,1,0,8,0,5,0,0,0,0,32,4.1875,20,6,0,9,0,5,0,2,0,0,34,4.9705882353
Aron Johannsson,SV Werder Bremen,26,Forward,69,73,69,75,27,71,67,18,15,7,1,1,0,1,1,2,0,0,0,0,9,1.6666666666999999,2,0,0,0,0,5,0,0,0,0,6,3.5
Arouna Kone,Medicana Sivasspor,33,Forward,67,73,49,75,28,73,66,22,6,7,0,0,0,0,0,0,0,0,0,0,6,1.0,5,3,0,1,0,10,0,0,0,0,25,2.96
Bafetimbi Gomis,Galatasaray SK,31,Forward,73,72,46,78,38,79,69,39,11,13,20,3,0,6,0,8,0,0,0,0,31,5.2903225806,6,0,0,0,0,8,0,0,0,0,33,2.4545454545
Bas Dost,Sporting CP,28,Forward,74,64,37,73,39,88,68,29,12,8,0,1,0,0,0,1,0,0,0,0,1,5.0,8,1,0,0,0,8,0,0,0,0,22,3.5909090909
Bebe,SD Eibar,26,Forward,70,78,64,75,33,70,66,18,7,11,3,3,0,2,0,7,0,0,0,0,20,2.5,3,6,0,3,0,16,0,0,0,0,34,2.6764705882
Benik Afobe,Bournemouth,24,Forward,67,71,52,73,25,78,65,21,6,7,6,3,0,1,0,7,0,1,0,0,31,2.6129032258000002,4,0,0,0,0,10,0,0,0,0,15,3.1333333333
Benjamin Jeannot,Dijon FCO,25,Forward,65,65,59,72,32,76,62,25,10,7,0,1,0,0,1,4,0,0,0,1,17,1.0588235294,7,1,0,3,0,10,0,0,0,0,29,2.8620689655000002
Benjamin Moukandjo,Free Agent,28,Forward,71,79,60,75,32,77,65,25,14,10,13,1,0,0,0,10,0,0,0,0,25,4.68,13,0,0,3,0,9,0,0,0,0,31,3.8387096774000002
Billy Ketkeophomphone,Angers SCO,27,Forward,76,78,72,78,42,78,71,15,12,8,1,0,0,2,0,1,0,0,0,0,5,2.4,5,7,0,5,0,13,0,0,0,0,35,3.0571428570999997
Borja Mayoral,Real Madrid CF,20,Forward,66,68,43,71,12,77,56,12,9,7,2,0,0,1,0,3,0,0,0,0,19,1.6315789474000002,0,0,0,0,0,3,0,0,0,0,6,1.5
Borja Viguera,Real Sporting de Gijon,30,Forward,56,71,61,75,25,65,58,13,6,8,2,1,0,1,0,2,0,0,0,0,18,2.0,0,0,0,0,0,1,0,0,0,0,9,1.3333333333
Branimir Hrgota,Eintracht Frankfurt,24,Forward,65,76,53,72,17,69,61,25,7,14,5,1,0,2,0,17,0,0,0,0,28,2.7142857143,0,0,0,0,0,0,0,0,0,0,9,1.0
Burgui,Deportivo Alaves,23,Forward,74,77,59,77,38,75,69,24,8,10,2,4,0,6,0,16,0,0,0,0,32,2.15625,1,2,0,0,0,7,0,1,0,0,26,1.6538461538
Caiuby,FC Augsburg,28,Forward,72,75,64,74,49,69,73,17,7,15,0,0,0,1,0,0,0,0,0,0,5,1.2,4,5,0,11,0,3,0,0,0,0,26,2.8846153846
Callum Wilson,Bournemouth,25,Forward,70,73,60,75,40,77,71,20,15,6,6,0,0,0,0,14,0,0,0,0,20,3.3,5,0,0,0,0,4,0,0,0,0,13,3.6153846154
Carlos Bacca,Villarreal CF,30,Forward,72,79,50,81,34,87,66,12,12,8,13,2,0,3,0,20,0,2,0,0,31,3.8709677419,18,1,0,2,0,13,0,0,0,0,38,4.3421052632
