Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Adam Federici,Bournemouth,32,Goalkeeper,28,19,25,27,22,16,63,20,69,73,0,0,1,1,0,0,0,0,3,0,2,2.5,0,0,0,0,0,1,0,0,16,0,6,0.3333333333
Alban Lafont,Toulouse FC,18,Goalkeeper,52,14,38,10,17,4,45,5,77,79,0,0,10,4,0,0,1,0,41,0,36,2.7222222222,0,0,7,0,0,1,0,0,27,0,24,2.7916666667000003
Albano Bizzarri,Udinese,39,Goalkeeper,27,18,26,23,19,10,49,12,76,72,0,0,3,2,0,0,0,0,66,0,29,0.9655172414000001,0,0,11,2,0,0,2,0,43,0,35,2.9428571429000003
Alberto Brignoli,Benevento Calcio,25,Goalkeeper,26,12,22,23,11,11,38,13,72,72,0,0,0,0,0,1,0,0,5,0,2,-0.5,0,0,0,0,0,0,0,0,5,0,1,-2.0
Alberto Pelagotti,Brescia,28,Goalkeeper,20,12,13,11,20,11,25,11,68,72,0,0,0,1,0,0,0,0,5,0,3,1.0,0,0,3,0,0,0,0,0,5,0,6,3.6666666667000003
Alexandre Letellier,Angers SCO,26,Goalkeeper,26,10,21,16,23,14,12,14,74,81,0,0,1,0,0,0,0,0,9,0,6,2.0,0,0,6,1,0,0,0,0,23,0,17,2.6470588235
Alphonse Areola,Paris Saint-Germain,24,Goalkeeper,41,12,32,22,23,17,34,19,78,84,0,0,6,0,0,0,0,0,14,0,15,3.2,0,0,15,1,0,0,1,0,26,0,32,3.71875
Andrea Consigli,Sassuolo,30,Goalkeeper,31,10,27,23,15,10,46,12,83,84,0,0,7,1,0,0,2,0,58,1,37,2.1621621622,0,0,10,2,1,0,2,0,40,1,38,2.7631578947000004
Andrea Seculin,Chievo Verona,26,Goalkeeper,29,12,25,21,10,11,43,13,67,79,0,0,0,0,0,0,0,0,8,0,3,0.3333333333,0,0,1,0,0,0,0,0,2,0,3,3.3333333332999997
Andres Fernandez,Villarreal CF,30,Goalkeeper,35,14,40,18,26,14,41,11,71,79,0,0,5,2,0,0,0,0,18,0,15,2.6,0,0,4,6,1,0,0,0,67,0,37,1.2702702703
