Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Aaron Hunt,Hamburger SV,German Bundesliga,Midfielder,78,75,68,68,55,15,4,2,0,3,0,7,0,1,0,0,22,2.5909090909,1,2,0,2,0,7,0,0,0,1,22
Aaron Lennon,Everton,English Premier League,Midfielder,76,82,54,82,42,14,0,1,0,0,0,5,0,0,0,0,11,1.8181818182,5,1,0,1,0,8,0,0,0,0,25
Aaron Ramsey,Arsenal,English Premier League,Midfielder,84,81,80,68,69,6,1,4,0,3,0,3,0,0,0,0,23,2.1739130435,5,5,0,4,0,2,0,0,0,0,31
Abdoulaye Doucoure,Watford,English Premier League,Midfielder,82,78,74,69,78,15,1,0,0,4,0,3,0,0,0,0,20,1.75,2,4,0,6,0,3,0,0,0,0,31
Abdoulaye Keita,Le Havre AC,French Ligue 2,Midfielder,65,54,62,71,66,14,0,0,0,2,0,0,0,0,0,0,21,1.5714285713999998,0,0,0,0,0,0,0,0,0,0,4
Abdoulaye Toure,FC Nantes,French Ligue 1,Midfielder,54,50,68,32,67,8,0,0,0,1,0,1,0,0,0,0,12,1.1666666667,0,0,0,0,0,0,0,0,0,0,4
Adalberto Penaranda,Malaga CF,Spanish Primera Division,Midfielder,74,82,56,80,36,6,0,0,0,1,0,2,0,0,0,0,8,1.1,5,3,0,8,0,11,0,0,0,0,23
Adam Lallana,Liverpool,English Premier League,Midfielder,86,85,77,72,68,6,8,7,0,3,0,17,0,0,0,0,31,3.7419354839,4,6,0,2,0,13,0,0,0,0,30
Adam Ounas,Napoli,Italian Serie A,Midfielder,71,78,65,76,47,8,3,2,0,5,1,5,0,0,0,0,26,1.9230769231,5,2,0,4,0,9,0,0,0,0,23
Adem Ljajic,Torino,Italian Serie A,Midfielder,78,87,71,79,32,6,10,9,0,5,0,9,0,1,0,0,33,4.0303030303,3,2,0,2,0,8,0,0,0,0,25
Adlene Guedioura,Middlesbrough,English Championship,Midfielder,73,68,71,69,64,13,0,1,0,2,0,5,0,0,0,0,17,1.5882352941,0,2,0,2,0,2,0,0,0,0,18
Adnan Januzaj,Real Sociedad,Spanish Primera Division,Midfielder,77,84,75,76,21,15,0,3,0,4,0,8,0,0,0,0,25,1.92,1,1,0,1,0,2,0,0,0,0,11
Adrian Gonzalez,Malaga CF,Spanish Primera Division,Midfielder,77,76,74,63,68,6,7,1,0,3,0,13,0,0,0,0,28,2.9285714286,4,0,0,6,0,12,0,0,0,0,32
Adrien Rabiot,Paris Saint-Germain,French Ligue 1,Midfielder,84,79,81,68,77,9,3,2,0,2,0,2,0,0,0,0,27,2.4444444444,1,1,0,4,0,10,0,0,0,0,24
Adrien Thomasson,FC Nantes,French Ligue 1,Midfielder,75,73,72,73,68,14,2,2,0,5,1,12,0,0,0,0,29,2.0,3,4,0,7,0,15,0,0,0,0,36
Afriyie Acquah,Torino,Italian Serie A,Midfielder,74,76,68,79,74,11,2,0,0,5,0,4,0,0,0,0,20,1.9,2,3,0,9,0,10,0,0,0,0,28
Alassane Plea,OGC Nice,French Ligue 1,Midfielder,76,77,70,83,37,11,11,2,0,1,0,12,0,1,0,0,25,4.2,6,4,0,1,0,12,0,0,0,0,19
Alberto Grassi,Ferrara (SPAL),Italian Serie A,Midfielder,74,70,72,72,68,12,1,0,0,2,0,3,0,0,0,0,18,1.3888888889,0,0,0,5,0,9,0,0,0,0,13
